_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,geometry
1,5,BP-05830,4841-4881,Yonge St,None,None,Harlandale Ave,None,None,18,Willowdale,Ring,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4110438508952, 43.7627105625297]]}"
2,34,BP-03501,8,Kensington Ave,None,None,Kensington Ave,None,None,11,Kensington Market,Ring,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4001274086522, 43.6530577620828]]}"
3,35,BP-11699,70,The Pond Rd,None,None,Seneca Lane,None,None,07,None,Rack,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4998342614142, 43.7707701519576]]}"
4,107,BP-12883,21,Canniff St,None,None,Strachan Ave,None,None,10,None,Ring,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4114934143378, 43.6414512066734]]}"
5,172,BP-15331,911,Davenport Rd,None,None,Davenport Rd,None,None,12,None,None,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4234423850333, 43.675402963235]]}"
6,175,BP-08916,20,Lombard St,None,None,Lombard St,None,None,13,St. Lawrence Market Neighbourhood,None,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3773239406763, 43.6514169410561]]}"
7,204,BP-14805,359,King St E,None,None,Derby St,None,None,13,St. Lawrence Market Neighbourhood,Ring,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3647867344514, 43.6519701999956]]}"
8,211,BP-10254,4841,Yonge St,None,None,Harlandale Ave,None,None,18,Willowdale,Ring,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4108762063491, 43.7621772558179]]}"
9,252,BP-12074,1960,Queen St E,None,None,Kenilworth Ave,None,None,19,The Beach,Ring,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3020630339304, 43.6696525999449]]}"
10,277,BP-15966,87,Avenue Rd,Avenue Rd,East,Elgin Ave,North,None,11,None,Ring,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3953361766065, 43.6720003272253]]}"
11,300,BP-05203,522,University Ave,None,None,Elm St,None,None,11,None,Ring,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3891452536367, 43.6561367694808]]}"
12,316,BP-11634,8,Assiniboine Rd,None,None,Scholars Walk,None,None,07,None,Rack,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.5035363297291, 43.76862302965]]}"
13,321,BP-08338,50,Western Battery Rd,None,None,Pirandello St,East,None,10,None,None,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4140278736865, 43.6399381912054]]}"
14,343,BP-03939,50,Blue Jays Way,None,None,Mercer St,None,None,10,Toronto Downtown West,Ring,Temporarily Removed,,"{'type': 'MultiPoint', 'coordinates': [[-79.3921196078987, 43.6453175950649]]}"
15,357,BP-05924,1313,Bloor St W,None,None,St Helens Ave,None,None,09,Bloordale Village,Ring,Temporarily Removed,,"{'type': 'MultiPoint', 'coordinates': [[-79.4439131599396, 43.6577609079604]]}"
16,417,BP-07766,162,Mc Caul St,None,None,Mc Caul St,None,None,11,None,Ring,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3920679390701, 43.6556277674895]]}"
17,427,BP-14494,1246,Bloor St W,None,None,Margueretta St,None,None,09,Bloordale Village,None,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.440075721153, 43.6589713433798]]}"
18,442,BP-10095,657,Dupont St,Dupont St,South,Christie St,East,None,11,None,None,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4213472963484, 43.6715630701285]]}"
19,481,BP-15776,131,Dunn Ave,Dunn Ave,East,King St W,South,None,04,None,Ring,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4324417802216, 43.6357664624931]]}"
20,483,BP-15128,180,Elizabeth St,None,None,Walton St,None,None,11,None,None,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3861627617275, 43.6573739813884]]}"
21,487,BP-13734,46,Wellesley St E,None,None,Wellesley St E,None,None,13,None,Ring,Temporarily Removed,,"{'type': 'MultiPoint', 'coordinates': [[-79.3824982139743, 43.6654226857923]]}"
22,545,BP-11207,59,Spadina Rd,None,None,Lowther Ave,None,None,11,None,None,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.404864065784, 43.6694857255314]]}"
23,596,BP-05510,2078,Queen St E,None,None,Leuty Ave,None,None,19,The Beach,Ring,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2965745184679, 43.6708492863782]]}"
24,653,BP-13958,2,London St,None,None,London St,None,None,11,None,Ring,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4119212766667, 43.666705531545]]}"
25,656,BP-03606,794,Mount Pleasant Rd,None,None,Brownlow Ave,None,None,12,Mount Pleasant Village,Ring,Temporarily Removed,,"{'type': 'MultiPoint', 'coordinates': [[-79.3910242321784, 43.7081371656379]]}"
26,675,BP-04047,585,King St W,None,None,Portland St,None,None,10,None,None,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3999421302424, 43.6443229021368]]}"
27,745,BP-10566,61,Hanna Ave,None,None,Hanna Ave,None,None,10,Liberty Village,None,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4177710593482, 43.6396824074137]]}"
28,758,BP-14256,2980,Bloor St W,None,None,Willingdon Blvd,None,None,03,The Kingsway,None,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.5095084293383, 43.6478827699972]]}"
29,769,BP-07881,7,King St E,None,None,Victoria St,None,None,13,St. Lawrence Market Neighbourhood,Ring,Temporarily Removed,,"{'type': 'MultiPoint', 'coordinates': [[-79.3772480821794, 43.6492270086673]]}"
30,771,BP-12242,46,Wellesley St E,None,None,Wellesley St E,None,None,13,None,None,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3829330701075, 43.6653266556261]]}"
31,777,BP-06607,55,Harbord St,None,None,Harbord St,None,None,11,None,Ring,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4015852520938, 43.6631042613272]]}"
32,840,BP-10390,254A,Kennedy Ave,None,None,Bloor St W,None,None,04,Bloor West Village,Rack,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4754176918078, 43.6517759428488]]}"
33,937,BP-12471,8,Assiniboine Rd,None,None,Kidd Ter,None,None,07,None,None,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.5047969717063, 43.7678846983223]]}"
34,955,BP-08068,2013,Eglinton Ave W,None,None,Miranda Ave,None,None,09,Fairbank Village,None,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4554091380864, 43.6944651010572]]}"
35,956,BP-13362,1229,Queen St W,None,None,Noble St,None,None,04,Parkdale Village,None,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4296536518803, 43.6418449424608]]}"
36,968,BP-03347,145,Queens Quay W,None,None,York St,None,None,10,The Waterfront,None,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3796702843428, 43.6396200276626]]}"
37,1003,BP-13006,2,Jackes Ave,Yonge St,East,Jackes Ave,North,None,12,Yonge & St. Clair,Ring,Temporarily Removed,,"{'type': 'MultiPoint', 'coordinates': [[-79.3928795462618, 43.685381270884]]}"
38,1117,BP-13603,648,Spadina Ave,None,None,Harbord St,None,None,11,Harbord Street,Ring,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4024920992733, 43.6630525516381]]}"
39,1141,BP-06106,167,King St E,King St E,South,Jarvis St,East,None,13,St. Lawrence Market Neighbourhood,Ring,Temporarily Removed,,"{'type': 'MultiPoint', 'coordinates': [[-79.371476441568, 43.650479163672]]}"
40,1202,BP-19323,1256,Bay St,Bay St,West,Yorkville Ave,South,None,11,Bloor-Yorkville,Ring,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3901617594675, 43.6710695328989]]}"
