_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
4480643,40,BP-12883,21,Canniff St,,,Strachan Ave,,,10,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4114934143378, 43.6414512066734]]}"
4480644,102,BP-11699,70,The Pond Rd,,,Seneca Lane,,,07,,Rack,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4998342614142, 43.7707701519576]]}"
4480645,157,BP-11338,1495,Queen St W,,,Dowling Ave,,,04,Parkdale Village,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4402532672444, 43.6398101276477]]}"
4480646,166,BP-03501,8,Kensington Ave,,,Kensington Ave,,,11,Kensington Market,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4001274086522, 43.6530577620828]]}"
4480647,181,BP-11634,8,Assiniboine Rd,,,Scholars Walk,,,07,,Rack,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.5035363297291, 43.76862302965]]}"
4480648,186,BP-08338,50,Western Battery Rd,,,Pirandello St,East,,10,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4140278736865, 43.6399381912054]]}"
4480649,219,BP-12074,1960,Queen St E,,,Kenilworth Ave,,,19,The Beach,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3020630339304, 43.6696525999449]]}"
4480650,243,BP-15966,87,Avenue Rd,Avenue Rd,East,Elgin Ave,North,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3953361766065, 43.6720003272253]]}"
4480651,262,BP-13787,147,Baldwin St,,,Spadina Ave,,,11,Kensington Market,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3998664709892, 43.6548878783334]]}"
4480652,271,BP-14805,359,King St E,,,Derby St,,,13,St. Lawrence Market Neighbourhood,Ring,Temporarily Removed,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3647867344514, 43.6519701999956]]}"
4480653,310,BP-03939,50,Blue Jays Way,,,Mercer St,,,10,Toronto Downtown West,Ring,Temporarily Removed,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3921196078987, 43.64531759506491]]}"
4480654,324,BP-05924,1313,Bloor St W,,,St Helens Ave,,,09,Bloordale Village,Ring,Temporarily Removed,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4439131599396, 43.6577609079604]]}"
4480655,384,BP-07766,162,Mc Caul St,,,Mc Caul St,,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3920679390701, 43.6556277674895]]}"
4480656,394,BP-14494,1246,Bloor St W,,,Margueretta St,,,09,Bloordale Village,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.440075721153, 43.6589713433798]]}"
4480657,403,BP-15331,911,Davenport Rd,,,Davenport Rd,,,12,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4234423850333, 43.675402963235]]}"
4480658,406,BP-08916,20,Lombard St,,,Lombard St,,,13,St. Lawrence Market Neighbourhood,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3773239406763, 43.6514169410561]]}"
4480659,441,BP-06263,105,Victoria St,,,Victoria St,,,13,St. Lawrence Market Neighbourhood,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3774822182661, 43.6520898543049]]}"
4480660,450,BP-15776,131,Dunn Ave,Dunn Ave,East,King St W,South,,04,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4324417802216, 43.6357664624931]]}"
4480661,451,BP-15128,180,Elizabeth St,,,Walton St,,,11,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3861627617275, 43.6573739813884]]}"
4480662,471,BP-14932,2,Sussex Ave,,,Sussex Ave,,,11,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3991354492668, 43.6656223387525]]}"
4480663,472,BP-13141,78,Dewson St,,,Dovercourt Rd,,,09,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4271168971538, 43.6562992002602]]}"
4480664,491,BP-03667,55,Oakmount Rd,,,Bloor St W,,,04,,Rack,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4632882467601, 43.6559606527956]]}"
4480665,511,BP-11207,59,Spadina Rd,,,Lowther Ave,,,11,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.40486406578401, 43.6694857255314]]}"
4480666,561,BP-05510,2078,Queen St E,,,Leuty Ave,,,19,The Beach,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.2965745184679, 43.6708492863782]]}"
4480667,621,BP-13958,2,London St,,,London St,,,11,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4119212766667, 43.666705531545]]}"
4480668,623,BP-03606,794,Mount Pleasant Rd,,,Brownlow Ave,,,12,Mount Pleasant Village,Ring,Temporarily Removed,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3910242321784, 43.7081371656379]]}"
4480669,630,BP-11260,125,Bathurst St,,,Bathurst St,,,10,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4025664048428, 43.6454714933524]]}"
4480670,644,BP-12372,77,Cottingham St,,,Gange Ave,,,12,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3949406497376, 43.6800881275002]]}"
4480671,656,BP-14382,520,Parliament St,,,Winchester St,,,13,Cabbagetown,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3687707873544, 43.6660052238324]]}"
4480672,666,BP-09551,203,Kingston Rd,,,Rainsford Rd,,,19,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3089198515406, 43.6729386255402]]}"
4480673,672,BP-16615,230,College St,,,College St,,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3978930973514, 43.6584030414659]]}"
4480674,698,BP-07615,819,Bathurst St,,,London St,,,11,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.41133668617312, 43.66606309537]]}"
4480675,709,BP-10566,61,Hanna Ave,,,Hanna Ave,,,10,Liberty Village,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4177710593482, 43.6396824074137]]}"
